p_val	avg_logFC	pct.1	pct.2	p_val_adj
Col4a5	5.47441916032582e-85	0.574946427005955	0.337	0.055	7.34174353591296e-81
Rbp1	1.11551334858051e-84	0.984039663055583	0.84	0.467	1.49601495178132e-80
Crispld2	2.98317209561022e-84	1.12208685277248	0.703	0.291	4.00073209742287e-80
Lsr	3.2003239552253e-84	0.698891188363411	0.6	0.184	4.29195445635265e-80
Tuba4a	5.69567262079744e-84	0.821463830531591	0.745	0.332	7.63846655175145e-80
Ntn1	1.70602214114807e-83	0.562030699087342	0.305	0.043	2.28794629349367e-79
Kcnn4	2.4933792745404e-83	0.769065781524201	0.659	0.223	3.34387094508613e-79
Lypd3	6.11171617170889e-83	0.69580724038355	0.523	0.136	8.19642255787879e-79
Elf3	1.00783879533298e-82	0.623511784589262	0.333	0.053	1.35161260842105e-78
Stac2	1.63164123180654e-82	0.592904173823718	0.341	0.058	2.18819405597575e-78
Kcnk1	2.80690741806182e-81	0.550971781622785	0.339	0.057	3.76434353836271e-77
Sfn	5.25920530670746e-81	0.52825300649948	0.782	0.29	7.05312023682537e-77
Crip2	4.28020090399914e-80	0.739959336061799	0.806	0.375	5.74017743235324e-76
Tfap2c	2.26263011123834e-79	0.610519090960671	0.343	0.061	3.03441324218174e-75
Jup	4.00764996906488e-78	0.709327038212377	0.689	0.285	5.37465937351291e-74
Ly6e	7.84641616481979e-78	0.69508452354457	0.952	0.767	1.05228287186398e-73
Esyt3	5.97851137754789e-77	0.545348849807721	0.277	0.038	8.01778160842948e-73
Lrp1	2.11235097825969e-75	-1.59606641300707	0.149	0.579	2.83287389694407e-71
Mpzl2	2.95939680530072e-75	0.593217124853536	0.358	0.073	3.9688470555888e-71
Nhsl1	6.6739788239111e-75	0.594818986325848	0.319	0.056	8.95047300074718e-71
Lurap1l	2.00825719375303e-74	0.613250992064574	0.374	0.08	2.69327372254219e-70
Lif	4.39243140109662e-74	1.368784255974	0.489	0.153	5.89068975201068e-70
Fn1	1.68709742568214e-72	-2.14693082352943	0.21	0.608	2.26256635758232e-68
Cobll1	2.76850839197135e-72	0.612551458439768	0.408	0.1	3.71284660447278e-68
Stk39	3.48899911301952e-72	0.571687359266433	0.378	0.086	4.67909671047048e-68
Ppl	5.67426712041149e-72	0.472977607246994	0.335	0.064	7.60975963518385e-68
Ldhb	4.83754093906796e-71	0.722477840216056	0.352	0.075	6.48762615338404e-67
Sox9	1.01887898477276e-70	0.823299086702218	0.655	0.258	1.36641860647875e-66
Klf5	1.06216192910705e-70	0.836539117382311	0.602	0.235	1.42446536312546e-66
Cd9	1.18226694385155e-70	0.628897124254622	0.917	0.64	1.58553819839932e-66
Prss8	2.10560325560112e-70	0.410578439562818	0.259	0.036	2.82382452608667e-66
Hes1	3.53684361571279e-70	0.726800765107541	0.541	0.185	4.74326097303242e-66
Tnk1	3.4055506362247e-69	0.609992221694789	0.281	0.045	4.56718395824095e-65
Echdc2	3.60983237138293e-69	0.644486276319745	0.394	0.096	4.84114619326165e-65
Col11a1	6.17812428769039e-69	0.837147923415936	0.41	0.106	8.28548248222158e-65
Rab25	2.1338316423095e-68	0.503147997388577	0.364	0.079	2.86168161550126e-64
Axl	3.05219096269687e-68	-1.29497084329572	0.075	0.504	4.09329330007277e-64
Ccdc120	3.40318688934232e-68	0.501992020203803	0.293	0.051	4.56401393729699e-64
Fam102a	5.22315575393324e-67	0.568279489144622	0.465	0.136	7.00477418159987e-63
Chchd10	7.96218373843141e-67	0.652192145446731	0.364	0.081	1.06780846116104e-62
Dusp6	1.30949183017171e-66	0.779053873903708	0.549	0.203	1.75615949344328e-62
Sparcl1	4.09040158448661e-66	0.590942109569492	0.469	0.136	5.48563756495499e-62
Ltbp3	4.13669136430271e-65	0.758499602224646	0.657	0.307	5.54771678866636e-61
Rab15	4.70916719549782e-65	0.66975286534449	0.402	0.11	6.31546412588212e-61
Lgals1	1.05346924607765e-64	-1.46389527564957	0.455	0.724	1.41280760591473e-60
Celsr2	1.08551404423129e-64	0.464962331849027	0.281	0.05	1.45578288471859e-60
Itga6	1.62520967897186e-64	0.598967258866649	0.549	0.184	2.17956870046917e-60
Esrp1	2.26360509507162e-64	0.460158785042748	0.356	0.081	3.03572079300055e-60
Trps1	3.37778053376995e-64	0.678513764189488	0.475	0.148	4.52994147383889e-60
Phlda1	7.0596862879553e-63	0.621096363625498	0.891	0.582	9.46774528077685e-59
Nedd9	9.68945216654157e-63	0.670916121361051	0.459	0.146	1.29945243005489e-58
Met	2.01335814783537e-61	0.544131383625803	0.364	0.09	2.70011461206201e-57
Ezr	2.5473519935378e-61	0.603998497639324	0.804	0.435	3.41625375853355e-57
B4galt5	4.68951857053003e-61	-1.13553836198047	0.042	0.44	6.28911335493782e-57
Npnt	5.49396742907662e-61	0.65917060592642	0.291	0.057	7.36795971913465e-57
Dyrk3	5.59276455985262e-61	0.48556851759142	0.311	0.065	7.50045655121835e-57
Srebf1	7.70641031592809e-61	0.780156458476278	0.495	0.178	1.03350668746912e-56
Ap1m2	1.18090630135574e-60	0.398347077002616	0.265	0.046	1.58371344074818e-56
Epha2	1.46616684895602e-60	0.605579940686228	0.62	0.242	1.96627636113492e-56
Gstt1	2.03386478043443e-60	0.555392256574958	0.283	0.054	2.72761605704062e-56
Shroom3	3.23194238563284e-60	0.487552254989543	0.368	0.093	4.33435793337221e-56
Smim22	5.60294539871722e-60	0.46853399262111	0.269	0.048	7.51411007421966e-56
Efna1	5.8179671809019e-60	0.43785632842041	0.406	0.109	7.80247578630754e-56
Tnk2	1.80541323333777e-59	0.740553200134754	0.545	0.206	2.42123968722929e-55
Cpe	1.97770642387224e-59	0.512605426838429	0.642	0.232	2.65230208505507e-55
Fxyd5	7.18362453855282e-59	-1.25627953744762	0.18	0.556	9.63395886865319e-55
Mmp19	2.17087988337458e-58	-1.69921247706025	0.034	0.421	2.91136701159365e-54
Fam83h	4.9299912446484e-58	0.511682177704237	0.354	0.09	6.61161125819797e-54
Nedd4l	9.55606889702137e-58	0.536687960826977	0.44	0.136	1.28156439977954e-53
Slc15a2	1.10189161478979e-57	0.421979225097798	0.36	0.089	1.47774684459458e-53
Pgpep1	1.46875172892003e-57	0.488968980205111	0.331	0.08	1.96974294365465e-53
Papss1	2.3947428414485e-57	0.702130256942892	0.527	0.218	3.21158962466658e-53
F11r	3.3507063517567e-57	0.577488515745747	0.564	0.213	4.49363228834092e-53
Map7	7.27237089718919e-57	0.369965972981395	0.287	0.059	9.75297661022043e-53
Tom1l1	8.27391330334511e-57	0.36296422063588	0.261	0.048	1.10961451311161e-52
Fam213a	8.7150437105022e-57	0.450274745948884	0.313	0.07	1.16877451201545e-52
X1500015O10Rik	1.16790560515771e-56	0.846753881728348	0.58	0.241	1.56627820707701e-52
Lad1	1.33634610527128e-56	0.520624932056925	0.513	0.174	1.79217376177931e-52
Cgnl1	8.57418474210377e-56	0.554365904633131	0.354	0.095	1.14988391576354e-51
Dock9	1.77311062330627e-55	0.465818948310725	0.366	0.099	2.37791865691604e-51
Urah	1.81297414517198e-55	0.368365105796904	0.453	0.137	2.43137962609014e-51
a	1.91588806610905e-55	0.445953903173041	0.386	0.105	2.56939748545885e-51
Sox4	1.99884454594053e-55	0.673017796575542	0.558	0.231	2.68065042056084e-51
Tubb4b	2.66592961872442e-55	0.723334416033792	0.642	0.309	3.57527821167132e-51
Tnfrsf12a	3.50582844349539e-55	0.595759652286633	0.885	0.614	4.70166652557167e-51
Smox	3.38886936509386e-54	0.670844255421848	0.764	0.458	4.54481270552737e-50
Slc12a2	4.86879285746188e-53	0.573106048250444	0.442	0.148	6.52953810114213e-49
Serinc2	6.32810924232912e-53	0.503061026520162	0.485	0.172	8.48662730488758e-49
Nipal2	1.17223442734605e-52	0.372849233548911	0.251	0.049	1.57208359051379e-48
Kifc3	1.60723329216795e-52	0.572674237470355	0.386	0.118	2.15546056812644e-48
Cyr61	1.79520970930496e-52	0.969731582901646	0.681	0.35	2.40755574114888e-48
Cnksr1	1.86218236974216e-52	0.431388010231276	0.327	0.083	2.49737277606121e-48
Hspb1	8.85122614033384e-52	0.93857092610218	0.699	0.348	1.18703793768017e-47
Klf10	1.25447936720457e-51	0.602378520262709	0.444	0.152	1.68238227935805e-47
Prkci	2.72051798538857e-51	0.669941802317626	0.422	0.151	3.64848667020461e-47
Rnase4	3.94756894925774e-51	-1.24089496158187	0.03	0.381	5.29408471784955e-47
Socs2	4.83103669775532e-51	0.761451112459901	0.521	0.227	6.47890331535965e-47
X1700025G04Rik	5.76094978642655e-51	0.466999042733003	0.37	0.11	7.72600975857665e-47
